entity_id,state,datetime
sensor.buro_temperatur_temperature,18.43,2024-12-01T03:01:05.133Z
sensor.buro_temperatur_temperature,18.35,2024-12-01T03:31:05.056Z
sensor.buro_temperatur_temperature,18.13,2024-12-01T04:01:04.982Z
sensor.buro_temperatur_temperature,18.17,2024-12-01T04:31:04.921Z
sensor.buro_temperatur_temperature,18,2024-12-01T05:01:04.883Z
sensor.buro_temperatur_temperature,17.88,2024-12-01T05:31:04.737Z
sensor.buro_temperatur_temperature,17.74,2024-12-01T06:01:04.762Z
sensor.buro_temperatur_temperature,17.8,2024-12-01T06:31:05.791Z
sensor.buro_temperatur_temperature,17.72,2024-12-01T07:01:04.681Z
sensor.buro_temperatur_temperature,17.64,2024-12-01T07:31:04.617Z
sensor.buro_temperatur_temperature,17.57,2024-12-01T08:01:04.500Z
sensor.buro_temperatur_temperature,17.59,2024-12-01T08:31:04.375Z
sensor.buro_temperatur_temperature,17.77,2024-12-01T09:01:04.410Z
sensor.buro_temperatur_temperature,17.66,2024-12-01T09:31:04.364Z
sensor.buro_temperatur_temperature,17.5,2024-12-01T10:01:04.306Z
sensor.buro_temperatur_temperature,17.36,2024-12-01T10:31:04.237Z
sensor.buro_temperatur_temperature,17.24,2024-12-01T11:01:04.107Z
sensor.buro_temperatur_temperature,17.14,2024-12-01T11:31:04.038Z
sensor.buro_temperatur_temperature,17.05,2024-12-01T12:01:03.979Z
sensor.buro_temperatur_temperature,17.44,2024-12-01T12:11:45.908Z
sensor.buro_temperatur_temperature,17.78,2024-12-01T12:21:45.818Z
sensor.buro_temperatur_temperature,18.03,2024-12-01T12:31:03.851Z
sensor.buro_temperatur_temperature,18.34,2024-12-01T12:41:45.739Z
sensor.buro_temperatur_temperature,18.62,2024-12-01T13:01:03.825Z
sensor.buro_temperatur_temperature,19.01,2024-12-01T13:31:03.869Z
sensor.buro_temperatur_temperature,19.1,2024-12-01T14:01:03.717Z
sensor.buro_temperatur_temperature,18.92,2024-12-01T14:31:03.641Z
sensor.buro_temperatur_temperature,18.73,2024-12-01T15:01:03.544Z
sensor.buro_temperatur_temperature,18.48,2024-12-01T15:31:03.490Z
sensor.buro_temperatur_temperature,18.29,2024-12-01T16:01:03.449Z
sensor.buro_temperatur_temperature,18.11,2024-12-01T16:31:03.470Z
sensor.buro_temperatur_temperature,18.09,2024-12-01T17:01:03.379Z
sensor.buro_temperatur_temperature,18.49,2024-12-01T17:21:45.375Z
sensor.buro_temperatur_temperature,18.62,2024-12-01T17:31:03.333Z
sensor.buro_temperatur_temperature,18.78,2024-12-01T18:01:03.172Z
sensor.buro_temperatur_temperature,18.67,2024-12-01T18:31:03.065Z
sensor.buro_temperatur_temperature,18.48,2024-12-01T19:01:02.954Z
sensor.buro_temperatur_temperature,18.6,2024-12-01T19:31:02.856Z
sensor.buro_temperatur_temperature,19.02,2024-12-01T19:46:44.891Z
sensor.buro_temperatur_temperature,19.02,2024-12-01T19:49:45.243Z
sensor.buro_temperatur_temperature,19.42,2024-12-01T20:01:02.859Z
sensor.buro_temperatur_temperature,19.81,2024-12-01T20:16:44.938Z
sensor.buro_temperatur_temperature,19.86,2024-12-01T20:31:02.871Z
sensor.buro_temperatur_temperature,19.53,2024-12-01T21:01:02.655Z
sensor.buro_temperatur_temperature,19.21,2024-12-01T21:26:44.637Z
sensor.buro_temperatur_temperature,19.15,2024-12-01T21:31:02.620Z
sensor.buro_temperatur_temperature,18.88,2024-12-01T22:01:02.496Z
sensor.buro_temperatur_temperature,18.74,2024-12-01T22:31:02.538Z
sensor.buro_temperatur_temperature,18.62,2024-12-01T23:01:02.409Z
sensor.buro_temperatur_temperature,18.49,2024-12-01T23:31:02.379Z
sensor.buro_temperatur_temperature,18.37,2024-12-02T00:01:02.310Z
sensor.buro_temperatur_temperature,18.28,2024-12-02T00:31:02.416Z
sensor.buro_temperatur_temperature,18.17,2024-12-02T01:01:02.293Z
sensor.buro_temperatur_temperature,18.11,2024-12-02T01:31:02.197Z
sensor.buro_temperatur_temperature,18.03,2024-12-02T02:01:02.110Z
sensor.buro_temperatur_temperature,17.97,2024-12-02T02:31:02.032Z
sensor.buro_temperatur_temperature,17.91,2024-12-02T03:01:01.891Z
sensor.buro_temperatur_temperature,17.86,2024-12-02T03:31:01.902Z
sensor.buro_temperatur_temperature,17.78,2024-12-02T04:01:01.794Z
sensor.buro_temperatur_temperature,17.74,2024-12-02T04:31:01.809Z
sensor.buro_temperatur_temperature,17.68,2024-12-02T05:01:01.753Z
sensor.buro_temperatur_temperature,17.63,2024-12-02T05:31:01.837Z
sensor.buro_temperatur_temperature,17.57,2024-12-02T06:01:01.594Z
sensor.buro_temperatur_temperature,17.54,2024-12-02T06:31:01.527Z
sensor.buro_temperatur_temperature,17.5,2024-12-02T07:01:01.429Z
sensor.buro_temperatur_temperature,17.59,2024-12-02T07:31:01.333Z
sensor.buro_temperatur_temperature,17.82,2024-12-02T08:01:01.268Z
sensor.buro_temperatur_temperature,17.94,2024-12-02T08:31:01.232Z
sensor.buro_temperatur_temperature,18.11,2024-12-02T09:01:01.133Z
sensor.buro_temperatur_temperature,18.46,2024-12-02T09:26:43.278Z
sensor.buro_temperatur_temperature,18.53,2024-12-02T09:31:01.056Z
sensor.buro_temperatur_temperature,18.96,2024-12-02T09:56:43.184Z
sensor.buro_temperatur_temperature,19.07,2024-12-02T10:01:00.957Z
sensor.buro_temperatur_temperature,19.07,2024-12-02T10:07:00.821Z
sensor.buro_temperatur_temperature,19.44,2024-12-02T10:16:43.217Z
sensor.buro_temperatur_temperature,19.73,2024-12-02T10:31:01.042Z
sensor.buro_temperatur_temperature,19.97,2024-12-02T11:01:01.004Z
sensor.buro_temperatur_temperature,20.07,2024-12-02T11:31:00.900Z
sensor.buro_temperatur_temperature,20.17,2024-12-02T12:01:00.854Z
sensor.buro_temperatur_temperature,20.52,2024-12-02T12:26:43.123Z
